&	USD share of reserves@%
1965	56.1
1966	56.5
1967	58
1968	55.3
1969	54.4
1970	71
1971	64.5
1972	68.2
1973	64.5
1974	69.9
1975	78.9
1976	78.1
1977	79.2
1978	76.6
1979	63.3
1980	56.9
1981	57.9
1982	57.9
1983	58.4
1984	58.6
1985	53.5
1986	54.7
1987	53.9
1988	53
1989	49.5
1990	45.9
1991	45.9
1992	48.9
1993	53.3
1994	53.1
1995	53.4
1996	56.8
1997	59.1
1998	62.6
1999	64.9
2000	66.6
2001	66.9
2002	63.5
2003	63.8
